county,livestock,population,productivity
Nairobi,Indigenous cattle,8812,0.72
Nairobi,Exotic cattle,1586,1.29
Nairobi,Goats,2710,0.75
Nairobi,Sheep,928,1.02
Nairobi,Indigenous Chicken,723,0.83
Nairobi,Exotic Chicken,1324,1.23
Nairobi,Pigs,115,1.09
Nairobi,Donkeys,158,1.36
Nairobi,Camels,416,1.15
Nairobi,Rabbits,169,1.0
Nairobi,Ducks,699,0.85
Nairobi,Turkeys,80,0.75
Kiambu,Indigenous cattle,17964,0.67
Kiambu,Exotic cattle,449,0.86
Kiambu,Goats,1271,0.82
Kiambu,Sheep,2473,1.24
Kiambu,Indigenous Chicken,839,0.6
Kiambu,Exotic Chicken,4114,1.18
Kiambu,Pigs,105,1.29
Kiambu,Donkeys,286,0.65
Kiambu,Camels,933,1.31
Kiambu,Rabbits,2107,1.17
Kiambu,Ducks,646,1.02
Kiambu,Turkeys,2275,0.69
Nakuru,Indigenous cattle,1336,1.33
Nakuru,Exotic cattle,99,1.2
Nakuru,Goats,449,1.34
Nakuru,Sheep,1259,1.3
Nakuru,Indigenous Chicken,3831,1.25
Nakuru,Exotic Chicken,4308,0.69
Nakuru,Pigs,400,0.61
Nakuru,Donkeys,639,0.78
Nakuru,Camels,133,1.02
Nakuru,Rabbits,954,1.38
Nakuru,Ducks,33,0.83
Nakuru,Turkeys,156,1.0
Meru,Indigenous cattle,714,0.72
Meru,Exotic cattle,2493,0.79
Meru,Goats,14018,0.89
Meru,Sheep,688,1.03
Meru,Indigenous Chicken,549,0.63
Meru,Exotic Chicken,956,0.61
Meru,Pigs,69,1.15
Meru,Donkeys,1129,0.71
Meru,Camels,737,1.25
Meru,Rabbits,81,0.79
Meru,Ducks,381,0.87
Meru,Turkeys,1427,1.32
Kisumu,Indigenous cattle,3050,0.73
Kisumu,Exotic cattle,2797,0.61
Kisumu,Goats,15377,1.12
Kisumu,Sheep,1454,0.79
Kisumu,Indigenous Chicken,10072,1.13
Kisumu,Exotic Chicken,1245,0.89
Kisumu,Pigs,200,1.31
Kisumu,Donkeys,1196,1.0
Kisumu,Camels,1310,0.82
Kisumu,Rabbits,43,0.74
Kisumu,Ducks,796,0.61
Kisumu,Turkeys,2052,1.37
Eldoret,Indigenous cattle,2829,1.28
Eldoret,Exotic cattle,135,1.05
Eldoret,Goats,2334,1.09
Eldoret,Sheep,1623,1.01
Eldoret,Indigenous Chicken,24305,0.89
Eldoret,Exotic Chicken,3291,1.25
Eldoret,Pigs,2190,1.24
Eldoret,Donkeys,220367,1.24
Eldoret,Camels,192,1.06
Eldoret,Rabbits,98,1.03
Eldoret,Ducks,170,0.7
Eldoret,Turkeys,3116,0.77
Mombasa,Indigenous cattle,2504,1.03
Mombasa,Exotic cattle,969,1.38
Mombasa,Goats,1305,0.95
Mombasa,Sheep,585,1.37
Mombasa,Indigenous Chicken,1453,0.73
Mombasa,Exotic Chicken,597,1.17
Mombasa,Pigs,10796,0.94
Mombasa,Donkeys,1171,1.21
Mombasa,Camels,156,0.98
Mombasa,Rabbits,596,0.98
Mombasa,Ducks,2591,1.11
Mombasa,Turkeys,15,1.1
Nyeri,Indigenous cattle,1438,0.66
Nyeri,Exotic cattle,1275,1.07
Nyeri,Goats,40822,0.97
Nyeri,Sheep,562,0.91
Nyeri,Indigenous Chicken,11351,0.66
Nyeri,Exotic Chicken,666,0.62
